"","Date","F_Turkey","F_Adana","F_Adiyaman","F_Afyonkarahisar","F_Agri","F_Aksaray","F_Amasya","F_Ankara","F_Antalya","F_Ardahan","F_Artvin","F_Aydin","F_Balikesir","F_Bartin","F_Batman","F_Bayburt","F_Bilecik","F_Bingol","F_Bitlis","F_Bolu","F_Burdur","F_Bursa","F_Canakkale","F_Cankiri","F_Corum","F_Denizli","F_Diyarbakir","F_Duzce","F_Edirne","F_Elazig","F_Erzincan","F_Erzurum","F_Eskisehir","F_Gaziantep","F_Giresun","F_Gumushane","F_Hakkari","F_Hatay","F_Igdir","F_Isparta","F_Istanbul","F_Izmir","F_Kahramanmaras","F_Karabuk","F_Karaman","F_Kars","F_Kastamonu","F_Kayseri","F_Kirikkale","F_Kirklareli","F_Kirsehir","F_Kilis","F_Kocaeli","F_Konya","F_Kutahya","F_Malatya","F_Manisa","F_Mardin","F_Mersin","F_Mugla","F_Mus","F_Nevsehir","F_Nigde","F_Ordu","F_Osmaniye","F_Rize","F_Sakarya","F_Samsun","F_Siirt","F_Sinop","F_Sivas","F_Sanliurfa","F_Sirnak","F_Tekirdag","F_Tokat","F_Trabzon","F_Tunceli","F_Usak","F_Van","F_Yalova","F_Yozgat","F_Zonguldak","S_Turkey","S_Adana","S_Adiyaman","S_Afyonkarahisar","S_Agri","S_Aksaray","S_Amasya","S_Ankara","S_Antalya","S_Ardahan","S_Artvin","S_Aydin","S_Balikesir","S_Bartin","S_Batman","S_Bayburt","S_Bilecik","S_Bingol","S_Bitlis","S_Bolu","S_Burdur","S_Bursa","S_Canakkale","S_Cankiri","S_Corum","S_Denizli","S_Diyarbakir","S_Duzce","S_Edirne","S_Elazig","S_Erzincan","S_Erzurum","S_Eskisehir","S_Gaziantep","S_Giresun","S_Gumushane","S_Hakkari","S_Hatay","S_Igdir","S_Isparta","S_Istanbul","S_Izmir","S_Kahramanmaras","S_Karabuk","S_Karaman","S_Kars","S_Kastamonu","S_Kayseri","S_Kirikkale","S_Kirklareli","S_Kirsehir","S_Kilis","S_Kocaeli","S_Konya","S_Kutahya","S_Malatya","S_Manisa","S_Mardin","S_Mersin","S_Mugla","S_Mus","S_Nevsehir","S_Nigde","S_Ordu","S_Osmaniye","S_Rize","S_Sakarya","S_Samsun","S_Siirt","S_Sinop","S_Sivas","S_Sanliurfa","S_Sirnak","S_Tekirdag","S_Tokat","S_Trabzon","S_Tunceli","S_Usak","S_Van","S_Yalova","S_Yozgat","S_Zonguldak","Year","Month","Season"
"1",2013-01-01,39163,591,109,175,71,158,114,4278,2101,5,49,651,639,62,111,5,149,5,44,169,48,1568,354,55,319,438,555,130,278,309,91,222,988,758,211,29,2,553,44,116,8298,2189,312,78,78,40,175,811,190,174,155,46,1068,820,362,364,526,202,902,389,14,55,147,430,226,118,538,825,61,61,166,449,43,1102,132,401,36,67,87,217,81,174,48281,957,152,300,34,171,131,6937,2755,NA,50,1068,793,48,43,6,103,7,24,122,60,1669,360,80,349,584,439,134,209,301,55,282,637,791,166,12,1,522,23,162,9937,3401,309,73,94,40,136,1291,186,196,162,37,1376,1089,256,379,689,82,1448,660,30,259,202,310,152,125,662,675,31,87,209,447,11,1086,176,414,25,88,72,521,137,184,2013,1,"Winter"
"2",2013-02-01,39521,691,197,163,181,113,174,4292,1896,3,50,636,693,59,132,13,123,11,52,198,62,1547,368,27,238,437,574,120,247,306,53,125,888,762,170,13,1,574,24,123,8277,2225,309,80,77,27,224,751,111,166,158,60,932,1728,259,389,535,282,1037,420,5,57,151,364,167,128,561,728,79,81,140,454,33,967,165,387,27,75,107,174,81,207,48998,976,224,343,17,156,116,6989,2733,NA,65,1042,821,49,59,4,87,10,16,115,64,1564,287,93,333,536,521,126,221,336,65,284,654,753,191,20,4,591,19,144,10694,3435,314,93,78,31,147,1254,295,252,148,44,1191,991,195,384,729,132,1491,743,34,164,210,299,143,116,643,691,41,100,213,435,6,1081,162,385,16,93,89,457,140,211,2013,2,"Winter"
"3",2013-03-01,43052,705,130,203,64,166,171,4346,2374,6,46,991,751,74,94,7,197,6,59,223,85,1631,417,56,281,444,711,113,373,270,73,118,1022,852,170,14,NA,636,27,118,9542,2461,343,91,82,33,170,802,591,220,91,59,1113,897,277,422,533,150,1073,478,6,56,177,384,228,138,554,721,48,91,151,510,11,1020,194,478,33,96,219,210,73,202,54904,1121,180,360,30,135,145,7945,3120,4,61,1250,984,59,71,2,102,18,36,147,59,1783,345,67,427,565,567,138,275,342,72,282,686,882,204,23,1,611,35,197,12028,3890,324,138,115,42,143,1285,239,190,124,51,1308,1175,251,457,808,94,1656,819,21,228,201,330,143,124,727,704,52,118,214,435,6,1361,201,387,22,105,87,544,178,248,2013,3,"Spring"
"4",2013-04-01,41233,746,115,184,36,170,153,4376,2188,8,59,793,847,74,159,5,135,6,36,220,77,1637,416,55,307,383,654,123,263,438,63,145,976,740,180,27,5,666,14,103,8751,2331,336,112,86,60,154,650,193,247,80,73,1093,875,350,554,545,176,948,443,1,68,147,362,237,132,750,735,64,98,139,515,25,1101,142,308,16,104,142,218,94,196,54148,1129,166,274,128,145,149,7513,2875,5,52,1173,1034,73,78,2,101,8,25,164,87,1860,429,82,335,490,548,133,290,463,76,251,682,910,179,28,2,609,30,167,12040,3931,382,113,100,34,166,1358,174,191,146,56,1216,1153,228,420,795,98,1671,812,39,154,233,284,158,104,793,732,55,88,224,456,6,1256,194,369,20,117,129,549,140,219,2013,4,"Spring"
"5",2013-05-01,46049,699,135,251,79,238,212,4614,2535,13,76,770,858,82,192,9,251,5,74,284,82,1680,518,62,291,571,774,145,342,270,88,174,1081,901,239,24,2,659,19,170,9371,2514,421,122,88,70,239,743,292,262,127,168,1272,995,340,493,584,197,1102,451,3,65,149,373,274,128,701,933,93,104,212,578,6,1265,148,684,78,127,175,296,151,186,57212,1242,191,298,62,162,152,8024,3094,2,43,1296,1092,60,84,10,100,11,48,151,68,1840,403,77,378,549,551,195,258,418,84,305,756,991,208,28,1,579,26,193,12659,4021,361,126,106,37,167,1339,187,231,155,67,1452,1285,252,433,763,97,1754,855,39,182,260,321,142,105,687,751,46,87,217,503,8,1565,194,432,24,122,109,606,181,254,2013,5,"Spring"
"6",2013-06-01,43345,777,145,202,61,199,215,4468,1883,13,88,667,804,64,169,22,168,9,44,272,97,1574,343,88,326,422,703,164,299,298,90,297,984,988,232,23,3,582,32,123,8160,2599,418,128,94,67,272,847,219,248,160,117,1146,1150,361,441,610,160,1217,483,7,77,140,461,228,139,820,909,51,115,215,533,13,1175,169,526,102,137,128,238,140,187,53079,1210,201,252,51,157,141,7224,2698,4,57,1104,1070,55,66,14,104,27,37,166,85,1892,409,72,366,696,519,169,306,351,91,278,689,937,198,18,1,566,26,181,11197,3780,382,107,103,62,174,1272,199,216,142,75,1286,1136,257,409,719,104,1812,763,39,175,214,271,182,91,689,807,48,82,236,521,8,1363,182,380,54,125,72,498,119,240,2013,6,"Summer"
"7",2013-07-01,49224,781,182,206,80,247,277,4969,2133,12,86,971,930,63,146,34,236,14,43,214,94,1851,549,108,295,599,707,165,327,336,121,315,1207,1216,227,41,3,760,35,161,9034,2931,529,175,120,79,251,1047,199,316,260,83,1420,1287,484,521,659,192,1199,510,6,59,156,458,295,135,928,992,81,143,259,526,11,1311,193,548,165,152,113,260,149,247,57412,1205,222,357,50,154,186,7459,3069,5,64,1418,1194,95,96,9,129,12,145,148,70,2077,465,70,369,690,529,164,326,387,89,311,840,928,224,33,1,707,27,186,11634,4079,437,114,124,53,137,1438,193,230,148,71,1371,1292,271,496,759,105,2001,971,27,181,264,236,153,92,783,774,41,92,256,512,8,1626,213,385,57,116,93,616,179,274,2013,7,"Summer"
"8",2013-08-01,38817,549,162,209,79,220,181,3773,1609,34,69,690,761,66,142,28,106,6,35,251,63,1412,446,95,303,475,484,151,243,285,119,222,1156,728,174,55,3,615,52,127,6960,2001,477,151,117,64,277,1084,308,228,216,118,1054,1012,311,461,474,196,919,536,12,64,193,339,228,114,788,655,75,141,245,372,5,878,206,424,165,105,110,186,178,192,45663,877,190,263,39,227,149,5863,2248,2,58,1341,1134,72,49,10,94,20,44,130,63,1462,422,62,341,513,395,142,284,383,66,216,605,831,178,27,4,611,28,193,7970,2960,373,104,122,49,164,1390,273,198,171,52,989,1184,245,441,608,105,1495,956,37,195,269,240,159,109,706,665,35,115,218,361,4,1185,181,350,56,160,85,617,182,249,2013,8,"Summer"
"9",2013-09-01,46778,637,188,220,81,286,197,5039,2093,15,114,851,888,64,200,22,181,11,48,263,80,1591,609,120,363,512,600,156,357,402,151,325,1300,991,237,52,13,706,40,208,8128,2211,590,167,92,81,239,899,240,305,341,110,1131,1194,384,608,646,244,1069,708,9,40,156,444,262,101,892,820,126,114,278,655,120,1214,226,592,117,165,218,232,196,203,55502,987,234,316,45,233,146,7167,2737,8,58,1444,1213,81,118,13,143,29,37,143,71,1805,494,75,401,638,587,172,381,427,83,279,759,971,201,29,NA,668,33,198,10386,3758,457,132,117,36,198,1647,218,242,161,71,1265,1451,281,561,735,112,1796,1076,47,221,259,297,155,121,900,781,62,108,275,562,17,1555,217,435,53,136,93,624,179,281,2013,9,"Fall"
"10",2013-10-01,35363,459,140,230,79,148,127,3370,1656,9,75,631,586,48,156,28,123,12,114,216,61,1160,314,89,479,369,503,107,286,334,113,209,836,779,213,58,2,452,40,122,6737,1752,443,114,82,83,207,829,150,235,132,94,943,916,292,490,425,146,1081,380,6,49,104,338,197,82,587,653,75,76,219,440,17,825,164,393,107,113,143,206,147,158,40981,773,145,260,24,151,115,4861,2210,1,57,1021,854,56,57,17,68,30,27,94,49,1487,297,73,294,401,456,149,405,342,69,219,514,740,185,22,2,492,24,116,8129,2847,300,106,77,26,125,1086,159,213,140,67,931,958,235,356,518,113,1328,751,45,165,177,275,104,90,593,596,48,78,189,396,7,1043,189,318,21,100,79,536,126,184,2013,10,"Fall"
